Artist,Streams,Dancebility,Valence,Energy,Acousticness,Instrumentalness,Liveness,Speechiness
"Drake, Future, Tems",556585270,46.0,34.0,64.0,31.0,0.0,7.0,34.0
"Drake, Future, Young Thug",489945871,80.0,33.0,60.0,0.0,0.0,32.0,14.0
"Drake, Project Pat, 21 Savage",594482982,85.0,22.0,37.0,13.0,0.0,7.0,30.0
"Drake, Travis Scott",593917618,67.0,29.0,47.0,5.0,0.0,22.0,26.0
"Drake, Travis Scott, 21 Savage",191333656,75.0,45.0,63.0,6.0,0.0,35.0,12.0
"Drake, WizKid, Kyla",2713922350,77.0,36.0,63.0,1.0,0.0,36.0,5.0
Dua Lipa,3227639000,71.66666666666667,78.66666666666667,84.0,2.6666666666666665,0.0,24.0,7.0
"Dua Lipa, DaBaby",1802514301,70.0,92.0,83.0,1.0,0.0,7.0,6.0
"Dua Lipa, Elton John, Pnau",1605224506,80.0,92.0,80.0,4.0,0.0,10.0,3.0
"Dua Lipa, Megan Thee Stallion",299634472,81.0,68.0,63.0,17.0,0.0,10.0,22.0
Duki,342373931,71.0,49.5,77.5,31.5,0.0,17.5,25.5
"Duki, NICKI NICOLE, Cris Mj, Standly, Stars Music Chile",223582566,77.0,72.0,87.0,17.0,0.0,7.0,5.0
Duncan Laurence,991336132,45.0,27.0,33.0,82.0,0.0,14.0,4.0
ENHYPEN,365477661,71.33333333333333,58.0,78.0,27.666666666666668,0.0,35.666666666666664,8.0
Ed Sheeran,13908947204,69.66666666666667,51.333333333333336,64.77777777777777,28.88888888888889,0.0,16.333333333333332,5.0
"Ed Sheeran, Elton John",135723538,59.0,60.0,94.0,24.0,0.0,10.0,4.0
"Ed Sheeran, Fireboy DML",261286503,96.0,71.0,42.0,57.0,0.0,8.0,9.0
"Ed Sheeran, J Balvin",106933107,89.0,59.0,64.0,5.0,0.0,19.0,7.0
"Ed Sheeran, Taylor Swift",146789379,53.0,31.0,31.0,92.0,0.0,28.0,3.0
Eden Muï¿½ï,299648208,55.0,86.0,44.0,40.0,0.0,7.0,4.0
